week_number,avg_weekly_wait,date2
0,5.0,2015-01-07
1,5.0,2015-01-14
2,5.0,2015-01-21
3,7.142857142857143,2015-01-28
4,6.428571428571429,2015-02-04
5,5.0,2015-02-11
6,5.0,2015-02-18
7,4.285714285714286,2015-02-25
8,4.285714285714286,2015-03-04
9,5.0,2015-03-11
10,5.0,2015-03-18
11,5.0,2015-03-25
12,8.571428571428571,2015-04-01
13,5.0,2015-04-08
14,5.0,2015-04-15
15,5.0,2015-04-22
16,5.0,2015-04-29
17,5.0,2015-05-06
18,5.0,2015-05-13
19,5.0,2015-05-20
20,5.0,2015-05-27
21,5.0,2015-06-03
22,5.0,2015-06-10
23,5.0,2015-06-17
24,5.0,2015-06-24
25,5.0,2015-07-01
26,5.0,2015-07-08
27,5.0,2015-07-15
28,5.0,2015-07-22
29,10.0,2015-07-30
30,7.857142857142857,2015-08-07
31,5.0,2015-08-14
32,5.714285714285714,2015-08-21
33,5.0,2015-08-29
34,9.285714285714286,2015-09-05
35,5.0,2015-09-12
36,5.0,2015-09-19
37,5.0,2015-09-26
38,5.0,2015-10-03
39,5.0,2015-10-10
40,5.0,2015-10-17
41,5.0,2015-10-24
42,5.0,2015-10-31
43,5.0,2015-11-07
44,5.0,2015-11-14
45,5.0,2015-11-21
46,5.0,2015-11-28
47,5.714285714285714,2015-12-05
48,5.0,2015-12-12
49,7.142857142857143,2015-12-19
50,7.857142857142857,2015-12-26
51,5.0,2016-01-02
52,10.714285714285714,2016-01-09
53,5.714285714285714,2016-01-16
54,5.0,2016-01-23
55,5.0,2016-01-30
56,6.428571428571429,2016-02-06
57,11.428571428571429,2016-02-13
58,5.0,2016-02-20
59,6.428571428571429,2016-02-27
60,5.0,2016-03-05
61,5.0,2016-03-12
62,5.714285714285714,2016-03-19
63,5.0,2016-03-26
64,6.428571428571429,2016-04-02
65,5.0,2016-04-09
66,5.0,2016-04-16
67,7.857142857142857,2016-04-23
68,9.285714285714286,2016-04-30
69,9.285714285714286,2016-05-07
70,8.571428571428571,2016-05-14
71,7.142857142857143,2016-05-21
72,5.0,2016-05-28
73,7.857142857142857,2016-06-04
74,5.0,2016-06-11
75,5.0,2016-06-18
76,5.0,2016-06-25
77,5.714285714285714,2016-07-02
78,5.714285714285714,2016-07-09
79,5.0,2016-07-16
80,5.0,2016-07-23
81,5.0,2016-07-30
82,5.0,2016-08-06
83,5.0,2016-08-13
84,5.0,2016-08-20
85,5.0,2016-08-27
86,5.0,2016-09-03
87,5.0,2016-09-10
88,5.0,2016-09-17
89,5.0,2016-09-24
90,5.0,2016-10-01
91,5.0,2016-10-09
92,5.0,2016-10-16
93,5.0,2016-10-23
94,5.0,2016-10-30
95,5.0,2016-11-06
96,5.0,2016-11-13
97,5.0,2016-11-20
98,5.0,2016-11-27
99,7.142857142857143,2016-12-04
100,5.0,2016-12-11
101,5.0,2016-12-18
102,5.0,2016-12-25
103,7.142857142857143,2017-01-01
104,10.0,2017-01-08
105,6.428571428571429,2017-01-15
106,5.0,2017-01-22
107,5.714285714285714,2017-01-29
108,5.0,2017-02-05
109,5.0,2017-02-12
110,5.0,2017-02-20
111,5.0,2017-02-27
112,5.0,2017-03-06
113,5.0,2017-03-13
114,21.428571428571427,2017-03-20
115,5.0,2017-03-27
116,5.0,2017-04-03
117,11.428571428571429,2017-04-10
118,6.428571428571429,2017-04-17
119,5.0,2017-04-24
120,5.0,2017-05-01
121,5.0,2017-05-08
122,5.714285714285714,2017-05-15
123,8.571428571428571,2017-05-22
124,5.0,2017-05-29
125,5.0,2017-06-05
126,5.0,2017-06-12
127,5.0,2017-06-19
128,5.0,2017-06-26
129,5.0,2017-07-03
130,5.0,2017-07-10
131,5.714285714285714,2017-07-17
132,8.571428571428571,2017-07-24
133,5.0,2017-07-31
134,5.0,2017-08-07
135,5.0,2017-08-14
136,5.0,2017-08-21
137,6.428571428571429,2017-08-28
138,5.0,2017-09-04
139,6.428571428571429,2017-09-13
140,5.0,2017-09-20
141,5.0,2017-09-27
142,5.0,2017-10-04
143,5.0,2017-10-11
144,5.714285714285714,2017-10-18
145,5.0,2017-10-25
146,5.0,2017-11-01
147,5.0,2017-11-08
148,5.0,2017-11-15
149,5.0,2017-11-22
150,5.0,2017-11-29
151,5.0,2017-12-06
152,11.428571428571429,2017-12-13
153,15.714285714285714,2017-12-20
154,5.0,2017-12-27
155,5.0,2018-01-03
156,15.0,2018-01-10
157,6.428571428571429,2018-01-17
158,5.0,2018-01-24
159,5.0,2018-01-31
160,5.0,2018-02-07
161,5.0,2018-02-14
162,7.142857142857143,2018-02-21
163,7.142857142857143,2018-02-28
164,5.0,2018-03-07
165,5.0,2018-03-14
166,5.0,2018-03-21
167,5.0,2018-03-28
168,5.0,2018-04-04
169,5.0,2018-04-11
170,7.142857142857143,2018-04-18
171,5.0,2018-04-25
172,7.142857142857143,2018-05-02
173,10.0,2018-05-09
174,20.714285714285715,2018-05-16
175,5.714285714285714,2018-05-23
176,5.0,2018-05-30
177,6.428571428571429,2018-06-06
178,5.0,2018-06-13
179,5.0,2018-06-20
180,5.714285714285714,2018-06-27
181,5.0,2018-07-04
182,5.0,2018-07-11
183,5.0,2018-07-18
184,9.285714285714286,2018-07-25
185,5.0,2018-08-01
186,5.0,2018-08-08
187,5.0,2018-08-15
188,5.0,2018-08-22
189,5.0,2018-08-29
190,5.0,2018-09-05
191,5.0,2018-09-12
192,5.0,2018-09-19
193,6.428571428571429,2018-09-26
194,5.0,2018-10-03
195,5.0,2018-10-10
196,5.0,2018-10-17
197,5.0,2018-10-24
198,5.714285714285714,2018-10-31
199,5.0,2018-11-07
200,5.0,2018-11-14
201,5.0,2018-11-21
202,5.0,2018-11-28
203,5.0,2018-12-05
204,5.0,2018-12-12
205,5.0,2018-12-19
206,5.0,2018-12-26
207,5.0,2019-01-02
208,18.571428571428573,2019-01-09
209,5.0,2019-01-16
210,5.714285714285714,2019-01-23
211,5.0,2019-01-30
212,5.0,2019-02-06
213,5.0,2019-02-13
214,6.428571428571429,2019-02-20
215,5.714285714285714,2019-02-27
216,5.714285714285714,2019-03-06
217,5.714285714285714,2019-03-13
218,5.0,2019-03-20
219,5.714285714285714,2019-03-27
220,5.0,2019-04-04
221,5.0,2019-04-11
222,5.714285714285714,2019-04-18
223,5.0,2019-04-25
224,5.0,2019-05-02
225,11.428571428571429,2019-05-09
226,6.428571428571429,2019-05-16
227,5.714285714285714,2019-05-23
228,5.0,2019-05-30
229,7.857142857142857,2019-06-06
230,8.571428571428571,2019-06-13
231,8.571428571428571,2019-06-20
232,9.285714285714286,2019-06-27
233,5.0,2019-07-04
234,7.142857142857143,2019-07-11
235,7.142857142857143,2019-07-18
236,5.0,2019-07-25
237,12.857142857142858,2019-08-01
238,8.571428571428571,2019-08-08
239,7.857142857142857,2019-08-15
240,14.285714285714286,2019-08-22
241,10.714285714285714,2019-08-29
242,5.0,2019-09-05
243,5.0,2019-09-12
244,5.0,2019-09-19
245,5.714285714285714,2019-09-26
246,5.0,2019-10-03
247,5.0,2019-10-10
248,5.714285714285714,2019-10-17
249,5.0,2019-10-24
250,5.714285714285714,2019-10-31
251,5.0,2019-11-07
252,7.142857142857143,2019-11-14
253,6.428571428571429,2019-11-21
254,7.142857142857143,2019-11-28
255,10.714285714285714,2019-12-05
256,5.714285714285714,2019-12-12
257,9.285714285714286,2019-12-19
258,5.714285714285714,2019-12-26
259,12.0,2019-12-31
