date,avg_weekly_wait
2019-07-22,13.571428571428571
2019-07-29,15.0
2019-08-05,13.571428571428571
2019-08-12,9.285714285714286
2019-08-19,12.142857142857142
2019-08-26,12.857142857142858
2019-09-02,7.857142857142857
2019-09-09,9.285714285714286
2019-09-16,11.428571428571429
2019-09-23,10.0
2019-09-30,11.428571428571429
2019-10-07,8.571428571428571
2019-10-14,12.857142857142858
2019-10-21,12.142857142857142
2019-10-28,12.857142857142858
2019-11-04,45.714285714285715
2019-11-11,24.285714285714285
2019-11-18,12.142857142857142
2019-11-25,16.428571428571427
2019-12-02,14.285714285714286
2019-12-09,13.571428571428571
2019-12-16,10.714285714285714
2019-12-23,14.285714285714286
2019-12-30,40.0
2020-01-06,40.714285714285715
2020-01-13,12.142857142857142
2020-01-20,19.285714285714285
2020-01-27,22.142857142857142
2020-02-03,8.571428571428571
2020-02-10,15.714285714285714
2020-02-17,32.142857142857146
2020-02-24,27.142857142857142
2020-03-02,11.428571428571429
2020-03-09,10.0
2020-07-10,6.428571428571429
2020-07-17,5.714285714285714
2020-11-04,7.142857142857143
2020-11-11,15.714285714285714
2020-11-18,19.285714285714285
2020-11-25,28.571428571428573
2020-12-02,18.571428571428573
2020-12-09,24.285714285714285
2020-12-16,25.714285714285715
2020-12-23,15.714285714285714
2020-12-30,20.714285714285715
2021-07-06,13.571428571428571
2021-07-13,15.0
2021-07-20,14.285714285714286
2021-07-27,16.428571428571427
2021-08-03,12.857142857142858
2021-08-10,16.428571428571427
2021-08-17,10.0
2021-08-24,7.142857142857143
2021-08-31,5.714285714285714
